groupid,brand,title,our_price,cost,rrp,benchmark_avg,benchmark_min,benchmark_max,benchmark_clicks,suggested_avg,suggested_min,suggested_max,total_click_uplift,total_conversion_uplift,sizes_in_report,margin_at_current,margin_at_suggested
1015084-ZERMATT,Birkenstock,Birkenstock Zermatt Shearling Felt Slippers Dark Anthracite Grey Narrow Fit,81.0,37.5,90.0,85.68,77.79,88.86,2.0,66.6,64.8,68.85,24.53,27.5,7,53.7,43.7
1015086-ZERMATT,Birkenstock,Birkenstock Zermatt Shearling Felt Slippers Light Grey Narrow Fit,82.0,37.5,90.0,83.56,67.64,89.85,1.0,68.82,67.49,76.5,13.14,14.69,8,54.3,45.5
1015090-ZERMATT,Birkenstock,Birkenstock Zermatt Shearling Felt Slippers Dark Anthracite Grey Regular Fit,81.0,37.5,90.0,79.85,64.0,91.34,16.0,66.35,65.69,67.49,12.86,17.12,9,53.7,43.5
1015092-ZERMATT,Birkenstock,Birkenstock Zermatt Shearling Felt Slippers Light Grey Regular Fit,80.0,37.5,90.0,87.55,79.22,90.06,6.0,66.87,65.69,76.5,11.94,14.4,11,53.1,43.9
1015398-BARBADOS,Birkenstock,Birkenstock Barbados EVA Slide On Sandals Black Regular Fit,35.0,16.67,40.0,,25.49,39.58,0.0,29.24,28.0,31.5,7.14,8.03,9,52.4,43.0
1015399-BARBADOS,Birkenstock,Birkenstock Barbados EVA Slide On Sandals White Regular Fit,32.0,16.67,40.0,39.27,38.46,39.27,3.0,,,,,,4,47.9,
1016570-ZERMATT,Birkenstock,Birkenstock Zermatt Shearling Felt Slippers Mocha Brown Regular Fit,76.0,37.5,90.0,,70.3,90.0,0.0,69.3,69.3,69.3,1.61,1.78,8,50.7,45.9
1016571-ZERMATT,Birkenstock,Birkenstock Zermatt Shearling Felt Slippers Mocha Brown Narrow Fit,70.0,37.5,90.0,70.99,70.75,71.14,3.0,64.45,63.0,65.69,2.34,2.52,4,46.4,41.8
1017519-ZERMATT,Birkenstock,Birkenstock Zermatt Cork Latex Footbed Slippers Dark Blue Navy Regular fit,54.1,25.0,60.0,57.42,54.54,58.71,5.0,46.59,45.59,49.8,6.51,6.51,4,53.8,46.3
1017523-ZERMATT,Birkenstock,Birkenstock Zermatt Cork Latex Footbed Slippers Dark Blue Navy Narrow fit,54.0,25.0,60.0,56.98,51.19,59.99,6.0,46.5,45.59,48.6,4.63,4.76,6,53.7,46.2
1017721-BEND,Birkenstock,Birkenstock Bend Low Natural Leather Trainer Style Black Regular Fit,92.0,56.25,135.0,115.14,104.29,137.96,34.0,87.43,86.4,87.75,1.49,1.61,11,38.9,35.7
1017722-BEND,Birkenstock,Birkenstock Bend Low Natural Leather Trainer Style Black Narrow Fit,96.0,56.25,135.0,126.39,124.29,133.99,2.0,87.43,86.4,87.75,3.95,5.22,8,41.4,35.7
1017723-BEND,Birkenstock,Birkenstock Bend Low Natural Leather Trainer Style White Regular Fit,108.0,56.25,135.0,125.81,117.12,133.11,28.0,87.09,86.4,87.75,13.61,14.13,11,47.9,35.4
1017724-BEND,Birkenstock,Birkenstock Bend Low Natural Leather Trainer Style White Narrow Fit,95.0,56.25,135.0,125.38,124.33,134.1,18.0,88.69,87.75,89.1,3.93,4.07,9,40.8,36.6
1019051-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Navy Blue Regular Fit,36.73,20.83,45.0,,44.04,49.76,0.0,,,,,,6,43.3,
1019094-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Khaki Green Regular Fit,42.0,20.83,50.0,48.5,46.33,49.71,13.0,36.16,35.7,36.99,17.68,14.79,6,50.4,42.4
1019115-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Vegan Sandals Black Regular Fit,81.01,37.5,90.0,,88.2,89.44,0.0,,,,,,4,53.7,
1019142-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Blue Narrow Fit,40.0,20.83,45.0,48.95,47.47,50.0,9.0,35.55,35.1,36.44,2.74,2.47,7,47.9,41.4
1019152-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Khaki Green Narrow Fit,40.0,20.83,45.0,47.43,33.92,47.79,2.0,36.87,36.0,38.25,2.6,2.13,7,47.9,43.5
1019163-BEND,Birkenstock,Birkenstock Bend Low Canvas Suede Trainer Style Sandcastle Regular Fit,90.0,52.08,125.0,,,,,80.96,78.75,86.25,4.07,4.96,6,42.1,35.7
1019180-BEND,Birkenstock,Birkenstock Bend Low Canvas Suede Trainer Style Midnight Blue Regular Fit,125.0,52.08,125.0,,,,,102.07,100.0,110.0,19.57,22.03,6,58.3,49.0
1019635-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Vegan Light Rose Narrow Fit,81.5,37.5,90.0,,86.4,90.0,0.0,68.76,68.39,69.27,3.89,4.59,5,54.0,45.5
1019662-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Vegan Light Rose Regular Fit,50.0,37.5,90.0,,91.0,91.0,0.0,,,,,,1,25.0,
1019717-BEND,Birkenstock,Birkenstock Bend Low Canvas Suede Trainer Style Sandcastle Narrow Fit,90.0,52.08,125.0,,,,,82.19,78.75,86.25,5.03,5.88,8,42.1,36.6
1019723-BEND,Birkenstock,Birkenstock Bend Low Canvas Suede Trainer Style Midnight Blue Narrow Fit,80.41,52.08,125.0,102.7,102.7,102.7,6.0,76.39,76.39,76.39,0.38,0.56,2,35.2,31.8
1022433-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Gold Regular Fit,38.01,20.83,50.0,49.07,49.07,49.07,2.0,36.11,36.11,36.11,0.38,0.31,2,45.2,42.3
1022465-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Gold Narrow Fit,40.0,20.83,50.0,,39.32,48.62,0.0,38.0,38.0,38.0,0.59,0.58,5,47.9,45.2
1022466-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Popcorn Narrow Fit,41.21,20.83,45.0,46.43,43.26,50.24,2.0,35.55,35.55,35.55,2.03,2.07,7,49.5,41.4
1023657-SOCK,Birkenstock,Womens Birkenstock Cotton Twist Sock White,15.95,6.38,15.95,,,,,15.31,15.31,15.31,1.86,2.21,1,60.0,58.3
1025006-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Vegan Sandals Pecan Regular Fit,54.53,37.5,90.0,,71.29,71.29,0.0,,,,,,1,31.2,
1025046-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Vegan Pecan Narrow Fit,72.17,37.5,90.0,,81.08,87.94,0.0,68.01,66.59,68.56,1.95,1.96,4,48.0,44.9
1025049-GIZEH,Birkenstock,Birkenstock Gizeh Sandals Vegan Birkibuc Pecan Brown Narrow Fit,64.0,37.5,90.0,,,,,60.3,60.3,60.3,0.5,0.79,2,41.4,37.8
1025062-GIZEH,Birkenstock,Birkenstock Gizeh Sandals Vegan Birkibuc Pecan Brown Regular Fit,82.0,37.5,90.0,,73.05,73.05,0.0,76.7,73.8,78.3,5.99,8.02,7,54.3,51.1
1025583-UPPSALA,Birkenstock,Birkenstock Uppsala Shearling Natural Leather Womens Boots Regular Width Black,90.0,75.0,180.0,113.45,102.35,125.48,61.0,,,,,,3,16.7,
1026202-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Rose Reptile Regular Fit,30.0,20.83,50.0,45.8,44.0,49.54,6.0,,,,,,3,30.6,
